n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
72,3,8,krylov,1,722349,9,0.9425020311656844,4.0,0.5873979717206802,6.833567783721113e-16,18
72,3,8,krylov,1,722349,10,1.0109159649481554,4.444444444444445,0.655543890535644,6.833615547438739e-16,18
72,3,8,krylov,1,722349,11,1.0756667164082834,4.888888888888889,0.7244801348355331,6.883552923418159e-16,18
72,3,8,krylov,1,722349,12,1.1299078604169963,5.333333333333333,0.7857642302872,6.885686963710107e-16,18
72,3,8,krylov,1,722349,13,1.165464958882609,5.777777777777778,0.827780194543905,6.893901353298934e-16,18
72,3,8,krylov,1,722349,14,1.1942713095824942,6.222222222222222,0.8629317661782167,6.894770664470269e-16,18
72,3,8,krylov,1,722349,15,1.2193680396673126,6.666666666666667,0.8943929405883699,6.895864072249751e-16,18
72,3,8,krylov,1,722349,16,1.2342083710186753,7.111111111111111,0.9133716291414548,6.909123317780984e-16,18
72,3,8,krylov,1,722349,17,1.2465016256365624,7.555555555555555,0.9293076617816524,6.911685439728232e-16,18
72,3,8,krylov,1,722349,18,1.2559559194389438,8.0,0.9416974456664376,6.945889138653014e-16,18
72,3,8,krylov,2,722350,0,0.0,0.0,0.0,0.0,18
72,3,8,krylov,2,722350,1,0.026279117346649145,0.4444444444444444,0.009985296757038475,0.0,18
72,3,8,krylov,2,722350,2,0.06801944611261855,0.8888888888888888,0.02639479617205772,2.254614724255716e-16,18
72,3,8,krylov,2,722350,3,0.10434288461137736,1.3333333333333333,0.04124286940184613,2.447020032036043e-16,18
72,3,8,krylov,2,722350,4,0.17170139903810108,1.7777777777777777,0.07024621665502313,2.452531126514124e-16,18
72,3,8,krylov,2,722350,5,0.24276676729104923,2.2222222222222223,0.10303922665752498,2.467881197321561e-16,18
72,3,8,krylov,2,722350,6,0.3265068049473319,2.6666666666666665,0.14479413082077705,2.4846453073527686e-16,18
72,3,8,krylov,2,722350,7,0.39439624200341367,3.111111111111111,0.1813080947204332,2.4859792761235456e-16,18
72,3,8,krylov,2,722350,8,0.454239754565451,3.5555555555555554,0.21561583492237482,4.493183116500428e-16,18
72,3,8,krylov,2,722350,9,0.5112610421354477,4.0,0.2502721957361218,4.495041591819031e-16,18
72,3,8,krylov,2,722350,10,0.589037008512522,4.444444444444445,0.3008445097907102,4.541020300450067e-16,18
72,3,8,krylov,2,722350,11,0.6641566585117398,4.888888888888889,0.35356925366149455,4.5788608579634e-16,18
72,3,8,krylov,2,722350,12,0.7601622691191912,5.333333333333333,0.42698370931837165,4.582390012396291e-16,18
72,3,8,krylov,2,722350,13,0.8371992105578284,5.777777777777778,0.4912081490294008,4.582424093743837e-16,18
72,3,8,krylov,2,722350,14,0.8842354429039312,6.222222222222222,0.5329247210886487,5.853541075679389e-16,18
72,3,8,krylov,2,722350,15,0.9248229515450016,6.666666666666667,0.5705331776257674,5.853700070239154e-16,18
72,3,8,krylov,2,722350,16,0.971063033793359,7.111111111111111,0.6152813154300875,5.860716646603918e-16,18
72,3,8,krylov,2,722350,17,1.011400048415954,7.555555555555555,0.6560428805625598,5.861571944003608e-16,18
72,3,8,krylov,2,722350,18,1.0445560155453981,8.0,0.690801142168515,5.861944277403133e-16,18
72,3,8,krylov,3,722351,0,0.0,0.0,0.0,0.0,18
72,3,8,krylov,3,722351,1,0.13206486736854667,0.4444444444444444,0.05294337838573058,0.0,18
72,3,8,krylov,3,722351,2,0.27295047202825795,0.8888888888888888,0.11768818935826011,2.2294566903743394e-16,18
72,3,8,krylov,3,722351,3,0.3880274750333651,1.3333333333333333,0.17777635644825257,2.2307491374684066e-16,18
72,3,8,krylov,3,722351,4,0.4798356935298278,1.7777777777777777,0.23092833469702834,2.4857817055876973e-16,18
72,3,8,krylov,3,722351,5,0.548326143238098,2.2222222222222223,0.27388283525258683,2.4941832031362154e-16,18
72,3,8,krylov,3,722351,6,0.6049897222610829,2.6666666666666665,0.3117125204438991,2.508246002234922e-16,18
72,3,8,krylov,3,722351,7,0.6409486935218254,3.111111111111111,0.3368553420503064,2.514552359432948e-16,18
72,3,8,krylov,3,722351,8,0.6757671042396245,3.5555555555555554,0.36207756450255096,5.58095341943004e-16,18
72,3,8,krylov,3,722351,9,0.7161359397447893,4.0,0.392441277946379,5.58470341263421e-16,18
72,3,8,krylov,3,722351,10,0.755915288257481,4.444444444444445,0.423584922253916,5.604660556807058e-16,18
72,3,8,krylov,3,722351,11,0.8004345467623744,4.888888888888889,0.45994059009500704,5.605637792405294e-16,18
72,3,8,krylov,3,722351,12,0.84225202780842,5.333333333333333,0.49559601671866044,5.634243943381106e-16,18
72,3,8,krylov,3,722351,13,0.8932189523139235,5.777777777777778,0.5411178176432605,5.635280092374695e-16,18
72,3,8,krylov,3,722351,14,0.9546047672531046,6.222222222222222,0.5991163898054216,5.635660434109749e-16,18
72,3,8,krylov,3,722351,15,1.0025364471921485,6.666666666666667,0.6469445093582038,5.6364434821522215e-16,18
72,3,8,krylov,3,722351,16,1.0420519586898065,7.111111111111111,0.6881356541713011,5.639001470464684e-16,18
72,3,8,krylov,3,722351,17,1.0722909313223088,7.555555555555555,0.7207747839469887,5.639041959490659e-16,18
72,3,8,krylov,3,722351,18,1.103818533144808,8.0,0.7558722980819745,5.639491420377763e-16,18
72,3,8,krylov,4,722352,0,0.0,0.0,0.0,0.0,18
72,3,8,krylov,4,722352,1,0.00830864399880656,0.4444444444444444,0.0031287212160526034,0.0,18
72,3,8,krylov,4,722352,2,0.01843580132307105,0.8888888888888888,0.006977546198336948,2.2397931145959134e-16,18
72,3,8,krylov,4,722352,3,0.03020492580538749,1.3333333333333333,0.011499645868888651,2.295943741597404e-16,18
72,3,8,krylov,4,722352,4,0.0450386130321661,1.7777777777777777,0.01727559412347173,4.473477624014251e-16,18
72,3,8,krylov,4,722352,5,0.06095388557288278,2.2222222222222223,0.023568712628555945,4.503695305856009e-16,18
