n,k,nu,strategy,t,runs,mean_potential,sample_standard_error,expectation_upper_bound,mean_over_bound
48,1,32,reply_null,1,8,0.5391957655524806,0.1758805322222677,2.6666666666666665,0.20219841208218023
48,1,32,reply_null,2,8,0.9110974520797968,0.19034135089923282,5.333333333333333,0.1708307722649619
48,1,32,reply_null,3,8,1.0371399915560182,0.19037972086093483,8.0,0.12964249894450228
48,1,32,reply_null,4,8,1.1149342518636822,0.19272878239410116,10.666666666666666,0.10452508611222021
48,1,32,reply_null,5,8,1.3225864943948713,0.14493303645661287,13.333333333333334,0.09919398707961534
48,1,32,reply_null,6,8,1.4272284015043613,0.13700551827828197,16.0,0.08920177509402258
48,1,32,reply_null,7,8,1.6064852668604404,0.07486887475495103,18.666666666666668,0.08606171072466644
48,1,32,reply_null,8,8,1.7068782982231248,0.08186102252069093,21.333333333333332,0.08000992022920898
48,1,32,reply_null,9,8,1.8869743820645657,0.11303716972678797,24.0,0.07862393258602357
48,1,32,reply_null,10,8,1.9497006728831674,0.09359325301487681,26.666666666666668,0.07311377523311878
48,1,32,reply_null,11,8,2.1213746028362297,0.08052802629784678,29.333333333333332,0.07231958873305329
48,1,32,reply_null,12,8,2.1352258799890436,0.08233268167083156,32.0,0.06672580874965761
48,3,2,random,0,8,0.0,0.0,0.0,0.0
48,3,2,random,1,8,0.04374627741684371,0.014564029277318816,0.16666666666666666,0.2624776645010623
48,3,2,random,2,8,0.07545069382834686,0.01699605893661086,0.3333333333333333,0.2263520814850406
48,3,2,random,3,8,0.1173568216309833,0.017343975314607116,0.5,0.2347136432619666
48,3,2,random,4,8,0.15194850873262922,0.017811054748748185,0.6666666666666666,0.22792276309894383
48,3,2,random,5,8,0.17939733254985818,0.021573695999277633,0.8333333333333334,0.2152767990598298
48,3,2,random,6,8,0.21801682317224638,0.02274921775959785,1.0,0.21801682317224638
48,3,2,random,7,8,0.24054946102905905,0.02714001057951043,1.1666666666666667,0.20618525231062204
48,3,2,random,8,8,0.27207622830878175,0.027574635057430245,1.3333333333333333,0.20405717123158632
48,3,2,random,9,8,0.33671487361638186,0.029884507409723367,1.5,0.22447658241092125
48,3,2,random,10,8,0.36398769352408533,0.029988523480644364,1.6666666666666667,0.21839261611445118
48,3,2,random,11,8,0.40349137016242465,0.030938509218975074,1.8333333333333333,0.22008620190677708
48,3,2,random,12,8,0.436691643630038,0.03000897966289389,2.0,0.218345821815019
48,3,2,krylov,0,8,0.0,0.0,0.0,0.0
48,3,2,krylov,1,8,0.046355110736808244,0.007160673523843256,0.16666666666666666,0.2781306644208495
48,3,2,krylov,2,8,0.08772391317565006,0.014909234320596843,0.3333333333333333,0.2631717395269502
48,3,2,krylov,3,8,0.11874370718107159,0.01889300000867954,0.5,0.23748741436214318
48,3,2,krylov,4,8,0.14167070548212132,0.022358043537162742,0.6666666666666666,0.212506058223182
48,3,2,krylov,5,8,0.16497248135610515,0.0258031076764027,0.8333333333333334,0.19796697762732618
48,3,2,krylov,6,8,0.18614535780535607,0.028853878404760863,1.0,0.18614535780535607
48,3,2,krylov,7,8,0.20725171628788633,0.031025416966295,1.1666666666666667,0.1776443282467597
48,3,2,krylov,8,8,0.22803936683608492,0.033887779021243555,1.3333333333333333,0.1710295251270637
48,3,2,krylov,9,8,0.2491074407594563,0.03521027857173242,1.5,0.16607162717297086
