n,k,epsilon,y,F_lower_scale,U_upper_scale_without_constants,scale_ratio,maximum_ratio_for_this_x
1000,1,1e-06,1,693.1471805599452,1000,1.4426950408889636,3.6159288156985046
1000,1,7.907755278982137e-06,2.812073128313369,475.8671301423121,1000,2.101426924992574,3.6159288156985046
1000,1,6.253259355226985e-05,7.907755278982137,276.55411678972047,1000,3.615928815698505,3.6159288156985046
1000,1,0.003910325256373381,62.53259355226985,66.39022664285997,126.45813694537055,1.904770375700633,3.6159288156985046
1000,1,0.0009999999999999998,31.622776601683793,110.20571523738391,250.06517860803783,2.269076318495784,3.6159288156985046
1000,2,4.0000000000000007e-10,0.01,995.0330853168083,1000,1.0049917080713053,3.4258796632438275
1000,2,4e-08,0.1,953.1017980432486,1000,1.049205868725707,3.4258796632438275
1000,2,4e-06,1,693.1471805599452,1000,1.4426950408889636,3.4258796632438275
1000,2,2.8858432393688763e-05,2.6860022521253013,485.6818229432269,1000,2.0589611403202412,3.4258796632438275
1000,2,0.00020820228005527627,7.214608098422191,291.89583356618556,1000,3.425879663243827,3.4258796632438275
1000,2,0.010837047355053923,52.05057001381907,76.29591008876568,138.60766743777756,1.8167116333826534,3.4258796632438275
1000,2,0.002,22.360679774997898,140.91943041092222,322.64708278185026,2.2895854875442563,3.4258796632438275
1000,10,1e-08,0.01,995.0330853168083,1000,1.0049917080713053,2.969071778997014
1000,10,1e-06,0.1,953.1017980432486,1000,1.049205868725707,2.969071778997014
1000,10,0.0001,1,693.1471805599452,1000,1.4426950408889636,2.969071778997014
1000,10,0.0005605170185988091,2.3675240623884037,512.8470683957338,1000,1.9498990276539108,2.969071778997014
1000,10,0.003141793281388977,5.605170185988091,336.80559933711373,1000,2.9690717789970145,2.969071778997014
1000,10,0.09870865022980917,31.41793281388977,110.72376315146732,178.40671501818423,1.6112775608441734,2.969071778997014
1000,10,0.010000000000000002,10.0,239.78952727983705,560.517018598809,2.337537527002501,2.969071778997014
10000,1,1e-12,0.01,9950.330853168083,10000,1.0049917080713053,4.22467136277788
10000,1,1.0000000000000002e-10,0.1,9531.017980432485,10000,1.049205868725707,4.22467136277788
10000,1,1e-08,1,6931.471805599453,10000,1.4426950408889636,4.22467136277788
10000,1,1.0210340371976184e-07,3.1953623224880436,4487.690476219656,10000,2.2283176731974184,4.22467136277788
10000,1,1.0425105051160675e-06,10.210340371976184,2367.0480236892618,10000,4.22467136277788,4.22467136277788
10000,1,0.00010868281532773583,104.25105051160675,446.6476290425649,979.399279131429,2.1927784128864,4.22467136277788
10000,1,0.0001,100.0,461.512051684126,1021.0340371976183,2.212367008557444,4.22467136277788
10000,2,4e-12,0.01,9950.330853168083,10000,1.0049917080713053,4.044686453174868
10000,2,4.0000000000000007e-10,0.1,9531.017980432485,10000,1.049205868725707,4.044686453174868
10000,2,4e-08,1,6931.471805599453,10000,1.4426950408889636,4.044686453174868
10000,2,3.806877276566495e-07,3.0849948446336564,4561.824369773638,10000,2.192105436206482,4.044686453174868
10000,2,3.6230786497095837e-06,9.517193191416238,2472.3795319537126,10000,4.044686453174867,4.044686453174868
10000,2,0.0003281674725495355,90.5769662427396,498.71175500853604,1050.7299577588924,2.1068882920975223,4.044686453174868
10000,2,0.0002,70.71067811865476,604.2424960319412,1345.9343687025723,2.2274738661072657,4.044686453174868
10000,10,1.0000000000000002e-10,0.01,9950.330853168083,10000,1.0049917080713053,3.6159288156985046
10000,10,1e-08,0.1,9531.017980432485,10000,1.049205868725707,3.6159288156985046
10000,10,1e-06,1,6931.471805599453,10000,1.4426950408889636,3.6159288156985046
10000,10,7.907755278982137e-06,2.812073128313369,4758.67130142312,10000,2.1014269249925746,3.6159288156985046
10000,10,6.253259355226985e-05,7.907755278982137,2765.541167897205,10000,3.6159288156985046,3.6159288156985046
10000,10,0.003910325256373381,62.53259355226985,663.9022664285997,1264.5813694537055,1.904770375700633,3.6159288156985046
10000,10,0.0009999999999999998,31.622776601683793,1102.0571523738392,2500.6517860803783,2.269076318495784,3.6159288156985046
1000000,1,1.0000000000000001e-16,0.01,995033.0853168083,1000000,1.0049917080713053,5.366011627720825
1000000,1,1.0000000000000002e-14,0.1,953101.7980432487,1000000,1.0492058687257069,5.366011627720825
1000000,1,1e-12,1,693147.1805599453,1000000,1.4426950408889634,5.366011627720825
1000000,1,1.481551055796427e-11,3.8490921732227035,410172.43432967603,1000000,2.4379990372445413,5.366011627720825
1000000,1,2.1949935309315085e-10,14.815510557964274,186358.15003344353,1000000,5.366011627720825,5.366011627720825
1000000,1,4.817996600831172e-08,219.49935309315086,24582.736509363578,67496.83016913898,2.745700428568211,5.366011627720825
1000000,1,1e-06,1000.0,6908.75477931522,14815.510557964273,2.1444545408272186,5.366011627720825
1000000,2,4.0000000000000004e-16,0.01,995033.0853168083,1000000,1.0049917080713053,5.199357593324144
1000000,2,4.0000000000000006e-14,0.1,953101.7980432487,1000000,1.0492058687257069,5.199357593324144
1000000,2,4e-12,1,693147.1805599453,1000000,1.4426950408889634,5.199357593324144
1000000,2,5.6489453509617314e-11,3.7579733071702797,415069.9524114083,1000000,2.4092324539282037,5.199357593324144
1000000,2,7.977645894538039e-10,14.122363377404328,192331.452886406,1000000,5.1993575933241445,5.199357593324144
1000000,2,1.591070850465991e-07,199.441147363451,26576.866130035414,70809.67776257565,2.66433511822341,5.199357593324144
1000000,2,2e-06,707.1067811865476,9280.910716474966,19972.03782108631,2.1519480610489055,5.199357593324144
1000000,10,9.999999999999998e-15,0.01,995033.0853168083,1000000,1.0049917080713053,4.80592302051025
1000000,10,1e-12,0.1,953101.7980432487,1000000,1.0492058687257069,4.80592302051025
1000000,10,1.0000000000000002e-10,1,693147.1805599453,1000000,1.4426950408889634,4.80592302051025
1000000,10,1.251292546497023e-09,3.5373613704243208,427534.9586265863,1000000,2.338990016658289,4.80592302051025
1000000,10,1.5657330369190042e-08,12.512925464970229,208076.57462100356,1000000,4.80592302051025,4.80592302051025
1000000,10,2.4515199428996073e-06,156.5733036919004,32316.433587005256,79917.36247446586,2.4729635545737136,4.80592302051025
1000000,10,1.0000000000000003e-05,316.22776601683796,18213.517722395674,39569.344661227384,2.172526211813119,4.80592302051025
