case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,8,32,1.2247523542047556,1.0250372827882692,0.4850339547818132,1.2247523542047556,8.557680161590833,0.4850339547818132,2.0728113555444292e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,10,40,1.2225413539852994,1.0092614441955892,0.30097624884967655,1.2225413539852994,8.425973165929365,0.30097624884967655,2.0752470071636965e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,12,48,1.071356927897839,1.0027923761566844,0.15572422775112038,1.071356927897839,8.37196516431802,0.15572422775112038,2.082226557873114e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,16,64,1.0000739410507027,1.000003469757097,0.00013481393152869892,1.0000739410507027,8.34868155369328,0.00013481393152869892,2.08610689335535e-15
near_b_fold_clusters,1829,160,4,24,24,0.1999999999999999,20,80,1.0000000044473039,1.0000000017649147,7.598015328014185e-08,1.0000000044473039,8.34865260063138,7.598015328014185e-08,2.088519200636747e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,6,24,1.5241254645239126,1.081392204103256,0.8838857597828099,1.5241254645239126,9.028167821155202,0.8838857597828099,2.1304449359814134e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,8,32,1.3974552813685037,1.0283458762618507,0.49921215022877585,1.3974552813685037,8.585302459049728,0.49921215022877585,2.1507490734091684e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,10,40,1.0968635454640854,1.007051461178938,0.25296652216546134,1.0968635454640854,8.407522785502612,0.25296652216546134,2.1570427667435825e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,12,48,1.0414303968553817,1.0016861622977271,0.10924017476264769,1.0414303968553817,8.362729769123883,0.10924017476264769,2.1586505255781195e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,16,64,1.000017789961822,1.000002269434039,6.615256205289022e-05,1.000017789961822,8.348671532613078,6.615256205289022e-05,2.165273881773578e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,20,80,1.0000000005602183,1.000000000779118,2.5890919630455755e-08,1.0000000005602183,8.348652592401308,2.5890919630455755e-08,2.170055749064987e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,6,24,1.7099321922696995,1.089946298040362,1.0000767564062492,1.7099321922696995,9.099582979623227,1.0000767564062492,1.783493060960283e-15
