case,seed,n,b,k,kprime,gap_b,q,numerical_subspace_dimension,spectral_ratio,frobenius_ratio,right_pca_normalized_error,spectral_absolute_error,frobenius_absolute_error,right_pca_absolute_error,orthogonality_error
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,6,24,1.5241254645239115,1.0813922041032564,0.88388575978281,1.5241254645239115,9.028167821155204,0.88388575978281,1.988842497759165e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,8,32,1.3974552813685046,1.028345876261851,0.49921215022877563,1.3974552813685046,8.585302459049728,0.49921215022877563,2.0202773130471416e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,10,40,1.0968635454640852,1.0070514611789385,0.252966522165462,1.0968635454640852,8.407522785502614,0.252966522165462,2.0409670296845265e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,12,48,1.0414303968553833,1.0016861622977273,0.10924017476264836,1.0414303968553833,8.362729769123883,0.10924017476264836,2.0449145081168438e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,16,64,1.0000177899618217,1.0000022694340391,6.615256205311226e-05,1.0000177899618217,8.348671532613078,6.615256205311226e-05,2.0899178274808313e-15
near_b_fold_clusters,1830,160,4,24,24,0.1999999999999999,20,80,1.0000000005602185,1.0000000007791183,2.5890917854098916e-08,1.0000000005602185,8.348652592401308,2.5890917854098916e-08,2.093937420510913e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,6,24,1.7099321922696997,1.089946298040362,1.0000767564062438,1.7099321922696997,9.099582979623225,1.0000767564062438,1.840003227030411e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,8,32,1.3058187380253745,1.0286169769125146,0.43519183008648565,1.3058187380253745,8.587565784197931,0.43519183008648565,1.8859395630191183e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,10,40,1.1363410654681703,1.0084085485890348,0.2761013402294734,1.1363410654681703,8.418852636818203,0.2761013402294734,1.9001144541524202e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,12,48,1.0845983877593908,1.002583032398883,0.21273739888660148,1.0845983877593908,8.370217426013108,0.21273739888660148,1.905035740096809e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,16,64,1.0000059043475058,1.0000058074175808,0.0003387275736903561,1.0000059043475058,8.348701070008522,0.0003387275736903561,1.9107191822970188e-15
near_b_fold_clusters,1831,160,4,24,24,0.1999999999999999,20,80,1.0000000013066974,1.0000000035384862,1.1828655011036915e-07,1.0000000013066974,8.348652615438311,1.1828655011036915e-07,1.9203574204444095e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,2,16,1.51715765146567,1.1207962359055537,1.2237602991300285,1.7865564765685824,8.680685630899468,1.69694761479364,1.7660203947618255e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,3,24,1.398071068799682,1.0591595443964512,0.5839383621723562,1.646323913836024,8.203302922804493,0.8097278622123341,1.8786324582077394e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,4,32,1.1790404914020538,1.0175699595834429,0.2095182051978665,1.3884004895707485,7.881187180695791,0.29053191120770827,2.059918080478274e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,6,48,1.0000897331047143,1.0001004416797485,0.0027739325241879814,1.177673782353397,7.745883913083712,0.0038465197668740014,2.073325477493638e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,8,64,1.0000000005637062,1.0000001911777066,6.047239622674743e-06,1.177568116174182,7.745107462320685,8.385505610108979e-06,2.0824010686639835e-15
t2_unaligned_spectrum,1929,128,8,14,16,0.3733333333333333,12,96,1.0000000000000004,1.0000000000001215,3.690157154204817e-12,1.17756811551038,7.745105981630028,5.1170179204973465e-12,2.0941503511656653e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,2,16,1.5921454170193348,1.1284054217069985,1.204822841500803,1.8748596783379456,8.739619581365567,1.6706876735477807,2.044210894768559e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,3,24,1.543165793021098,1.0662397044894674,0.6539812401538523,1.817182834807935,8.258139513091804,0.9068539863466754,2.065850440036396e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,4,32,1.3894893761006677,1.0248393022244506,0.44274934432869273,1.6362183861365565,7.937489009867172,0.6139457574691207,2.115203262073504e-15
t2_unaligned_spectrum,1930,128,8,14,16,0.3733333333333333,6,48,1.0117800320551127,1.000705330101275,0.0245665958999783,1.1914399056581706,7.750568838015494,0.034065679647969915,2.207291508726926e-15
