n,k,nu,strategy,trial,seed,t,potential,expectation_upper_bound,kernel_trace,orthogonality_error,total_queries_in_run
48,3,32,reply_null,5,722241,6,2.5543766288094423,16.0,0.42590079769069134,6.848237969455959e-16,12
48,3,32,reply_null,5,722241,7,2.7137769990162446,18.666666666666668,0.4666217003054111,6.851741508136395e-16,12
48,3,32,reply_null,5,722241,8,2.9183027460204687,21.333333333333332,0.5070013549657731,6.858283157333552e-16,12
48,3,32,reply_null,5,722241,9,3.696066606911038,24.0,0.7143110460061034,6.858669770633894e-16,12
48,3,32,reply_null,5,722241,10,3.8947389638308683,26.666666666666668,0.77025701949147,6.919276647102952e-16,12
48,3,32,reply_null,5,722241,11,4.050606919944363,29.333333333333332,0.84148035955545,6.919418304474591e-16,12
48,3,32,reply_null,5,722241,12,4.415496799738929,32.0,0.9862180348836969,6.870278960309999e-16,12
48,3,32,reply_null,6,722242,0,0.0,0.0,0.0,0.0,12
48,3,32,reply_null,6,722242,1,0.07555665214872162,2.6666666666666665,0.007357905416413777,0.0,12
48,3,32,reply_null,6,722242,2,0.42792607620689266,5.333333333333333,0.047772353186417586,2.2204467226661955e-16,12
48,3,32,reply_null,6,722242,3,0.9790545683524319,8.0,0.12274642111963259,2.230457832087107e-16,12
48,3,32,reply_null,6,722242,4,1.2570042776579167,10.666666666666666,0.1625195121784798,2.2348673100522224e-16,12
48,3,32,reply_null,6,722242,5,1.692176056105541,13.333333333333334,0.24593410393388793,2.255790718199148e-16,12
48,3,32,reply_null,6,722242,6,2.008383789306212,16.0,0.2988842542870894,2.255818344552348e-16,12
48,3,32,reply_null,6,722242,7,2.565711047389334,18.666666666666668,0.40628313082948286,4.540701096015298e-16,12
48,3,32,reply_null,6,722242,8,2.7985794659015517,21.333333333333332,0.45101468808673967,4.542723246031607e-16,12
48,3,32,reply_null,6,722242,9,3.071912100045188,24.0,0.5075236345320311,5.028066960815949e-16,12
48,3,32,reply_null,6,722242,10,3.25906986213111,26.666666666666668,0.5622828207519114,5.028152929674992e-16,12
48,3,32,reply_null,6,722242,11,3.527456032923627,29.333333333333332,0.6531444274020795,5.046361818256487e-16,12
48,3,32,reply_null,6,722242,12,3.6791049326474177,32.0,0.7009568980580454,4.56075491313063e-16,12
48,3,32,reply_null,7,722243,0,0.0,0.0,0.0,0.0,12
48,3,32,reply_null,7,722243,1,0.6551930499974915,2.6666666666666665,0.08676695643845796,0.0,12
48,3,32,reply_null,7,722243,2,0.8456328875898212,5.333333333333333,0.10881597248200432,2.240544766008319e-16,12
48,3,32,reply_null,7,722243,3,0.8883178039923618,8.0,0.11297969110601723,2.3288341362959594e-16,12
48,3,32,reply_null,7,722243,4,1.730597564066259,10.666666666666666,0.24626253827341327,2.443530646257614e-16,12
48,3,32,reply_null,7,722243,5,1.925028981447073,13.333333333333334,0.2797709938037895,3.451928188292822e-16,12
48,3,32,reply_null,7,722243,6,2.4740292659552736,16.0,0.3710730948341215,3.482693280267569e-16,12
48,3,32,reply_null,7,722243,7,2.949183659061483,18.666666666666668,0.49920748900546014,3.511271819648767e-16,12
48,3,32,reply_null,7,722243,8,3.0807873763444924,21.333333333333332,0.5300303446272712,3.521849979911491e-16,12
48,3,32,reply_null,7,722243,9,3.1650958397205198,24.0,0.553115307225416,3.524061193213174e-16,12
48,3,32,reply_null,7,722243,10,3.2660128828795107,26.666666666666668,0.5892730858705219,3.5276813440523497e-16,12
48,3,32,reply_null,7,722243,11,3.6621782926491546,29.333333333333332,0.6827736355794037,3.572141153336858e-16,12
48,3,32,reply_null,7,722243,12,3.736072439181328,32.0,0.7063921943980797,3.56289936851712e-16,12
72,1,2,random,0,722244,0,0.0,0.0,0.0,0.0,18
72,1,2,random,0,722244,1,0.06828260409376159,0.1111111111111111,0.0353339204215999,2.220446049250313e-16,18
72,1,2,random,0,722244,2,0.08330487278180133,0.2222222222222222,0.043436558036355224,4.441022199057147e-16,18
72,1,2,random,0,722244,3,0.17332083608194299,0.3333333333333333,0.09462379871106154,4.467826753755787e-16,18
72,1,2,random,0,722244,4,0.1811206520929793,0.4444444444444444,0.09927988965790595,4.484671083619107e-16,18
