n,k,nu,strategy,t,runs,mean_potential,sample_standard_error,expectation_upper_bound,mean_over_bound
48,1,8,random,6,8,0.7577842142417586,0.11456335821626798,4.0,0.18944605356043964
48,1,8,random,7,8,0.8482249542130175,0.11004376675913954,4.666666666666667,0.18176249018850374
48,1,8,random,8,8,0.8996369057842101,0.10641999348554848,5.333333333333333,0.1686819198345394
48,1,8,random,9,8,0.9191693101780571,0.10775931406286066,6.0,0.15319488502967618
48,1,8,random,10,8,0.9692899096318628,0.10960925797286422,6.666666666666667,0.14539348644477942
48,1,8,random,11,8,1.0417702491201988,0.10890647481145334,7.333333333333333,0.14205957942548167
48,1,8,random,12,8,1.1335747749786957,0.09388237913258839,8.0,0.14169684687233697
48,1,8,krylov,0,8,0.0,0.0,0.0,0.0
48,1,8,krylov,1,8,0.13673746159372702,0.05723097749077777,0.6666666666666666,0.20510619239059052
48,1,8,krylov,2,8,0.2553455610720196,0.09776156663873103,1.3333333333333333,0.19150917080401472
48,1,8,krylov,3,8,0.38320206962705106,0.13419001636132158,2.0,0.19160103481352553
48,1,8,krylov,4,8,0.5024872702279538,0.16000780671189865,2.6666666666666665,0.1884327263354827
48,1,8,krylov,5,8,0.6072539385841176,0.17914462047913246,3.3333333333333335,0.18217618157523527
48,1,8,krylov,6,8,0.6985463033870433,0.19754956157300627,4.0,0.17463657584676082
48,1,8,krylov,7,8,0.7848871764320672,0.2083662534359636,4.666666666666667,0.16819010923544295
48,1,8,krylov,8,8,0.8688181752054073,0.21342073000110548,5.333333333333333,0.16290340785101387
48,1,8,krylov,9,8,0.9526584878099675,0.2126449219820475,6.0,0.1587764146349946
48,1,8,krylov,10,8,1.0299540429234963,0.20749350038258052,6.666666666666667,0.15449310643852446
48,1,8,krylov,11,8,1.1045845312795186,0.20205178696203027,7.333333333333333,0.150625163356298
48,1,8,krylov,12,8,1.1966125408833068,0.19530758851653945,8.0,0.14957656761041335
48,1,8,reply_null,0,8,0.0,0.0,0.0,0.0
48,1,8,reply_null,1,8,0.1685661347047121,0.1000090516532858,0.6666666666666666,0.2528492020570682
48,1,8,reply_null,2,8,0.3897923088572811,0.0972432454129492,1.3333333333333333,0.29234423164296086
