case,trial,warm_ratio,final_ratio,surrogate_ratio,queries,exceeds_requested_factor
translated_rank_one_family,45,1.0,1.0,1.3395586114999192,35,False
translated_rank_one_family,46,1.0,1.0,1.1471490596280622,35,False
translated_rank_one_family,47,1.0,1.0,1.1682494160385486,35,False
translated_rank_one_family,48,1.0,1.0,1.0578106744823068,35,False
translated_rank_one_family,49,1.0,1.0,1.271981636892564,35,False
translated_rank_one_family,50,1.0,1.0,1.1207226310564908,35,False
translated_rank_one_family,51,1.0,1.0,1.1933185033631757,35,False
translated_rank_one_family,52,1.0,1.0,1.2058433884460489,35,False
translated_rank_one_family,53,1.0,1.0,1.1029182290068837,35,False
translated_rank_one_family,54,1.0,1.0,1.1216058114484502,35,False
translated_rank_one_family,55,1.0,1.0,1.1514269031160784,35,False
translated_rank_one_family,56,1.0,1.0,1.0821346198687247,35,False
translated_rank_one_family,57,1.0,1.0,1.2194466001299624,35,False
translated_rank_one_family,58,1.0,1.0,1.1661923398647158,35,False
translated_rank_one_family,59,1.0,1.0,1.1460665966288455,35,False
translated_rank_one_family,60,1.0,1.0,1.1932319701412386,35,False
translated_rank_one_family,61,1.0,1.0,1.2050356736733148,35,False
translated_rank_one_family,62,1.0,1.0,1.0986535437138005,35,False
translated_rank_one_family,63,1.0,1.0,1.135847913347183,35,False
translated_rank_one_family,64,1.0,1.0,1.134965622584152,35,False
translated_rank_one_family,65,1.0,1.0,1.1347843128436574,35,False
translated_rank_one_family,66,1.0,1.0,1.169770070047699,35,False
translated_rank_one_family,67,1.0,1.0,1.0767376045973458,35,False
translated_rank_one_family,68,1.0,1.0,1.0756532775857266,35,False
translated_rank_one_family,69,1.0,1.0,1.1287746009840915,35,False
translated_rank_one_family,70,1.0,1.0,1.109454180525074,35,False
translated_rank_one_family,71,1.0,1.0,1.2679830035960282,35,False
translated_rank_one_family,72,1.0,1.0,1.1638070438556416,35,False
translated_rank_one_family,73,1.0,1.0,1.1517400775180646,35,False
translated_rank_one_family,74,1.0,1.0,1.1418107269329159,35,False
translated_rank_one_family,75,1.0,1.0,1.102377504253533,35,False
translated_rank_one_family,76,1.0,1.0,1.0977438686385037,35,False
translated_rank_one_family,77,1.0,1.0,1.0950436373347041,35,False
translated_rank_one_family,78,1.0,1.0,1.1276597331748401,35,False
translated_rank_one_family,79,1.0,1.0,1.3000511607193308,35,False
translated_rank_one_family,80,1.0,1.0,1.074944918872247,35,False
translated_rank_one_family,81,1.0,1.0,1.1564340039979266,35,False
translated_rank_one_family,82,1.0,1.0,1.1965684756916988,35,False
translated_rank_one_family,83,1.0,1.0,1.2167225142792406,35,False
translated_rank_one_family,84,1.0,1.0,1.0774953801742881,35,False
translated_rank_one_family,85,1.0,1.0,1.1978763755461668,35,False
translated_rank_one_family,86,1.0,1.0,1.1454779239993356,35,False
translated_rank_one_family,87,1.0,1.0,1.00554277409126,35,False
translated_rank_one_family,88,1.0,1.0,1.0804059086674604,35,False
translated_rank_one_family,89,1.0,1.0,1.286021446479932,35,False
translated_rank_one_family,90,1.0,1.0,1.1405365700251764,35,False
translated_rank_one_family,91,1.0,1.0,1.1356714714691094,35,False
translated_rank_one_family,92,1.0,1.0,1.1361895597748783,35,False
translated_rank_one_family,93,1.0,1.0,1.1810858083623403,35,False
translated_rank_one_family,94,1.0,1.0,1.2796511580095637,35,False
translated_rank_one_family,95,1.0,1.0,1.2012363467707727,35,False
translated_rank_one_family,96,1.0,1.0,1.17055189399758,35,False
translated_rank_one_family,97,1.0,1.0,1.1329945977936662,35,False
translated_rank_one_family,98,1.0,1.0,1.1708956292309607,35,False
translated_rank_one_family,99,1.0,1.0,1.2437743542099853,35,False
translated_rank_one_family,100,1.0,1.0,1.1886822804545616,35,False
translated_rank_one_family,101,1.0,1.0,1.166599062444443,35,False
translated_rank_one_family,102,1.0,1.0,1.191059382989629,35,False
translated_rank_one_family,103,1.0,1.0,1.1325938973397216,35,False
translated_rank_one_family,104,1.0,1.0,1.2272206066361813,35,False
translated_rank_one_family,105,1.0,1.0,1.1334622783491408,35,False
translated_rank_one_family,106,1.0,1.0,1.224574616354528,35,False
translated_rank_one_family,107,1.0,1.0,1.160510751311441,35,False
translated_rank_one_family,108,1.0,1.0,1.1419530056444591,35,False
translated_rank_one_family,109,1.0,1.0,1.1596694053971808,35,False
translated_rank_one_family,110,1.0,1.0,1.1060289887970538,35,False
translated_rank_one_family,111,1.0,1.0,1.087791141793171,35,False
translated_rank_one_family,112,1.0,1.0,1.200382598005091,35,False
translated_rank_one_family,113,1.0,1.0,1.1905237611758246,35,False
translated_rank_one_family,114,1.0,1.0,1.2086505746148006,35,False
translated_rank_one_family,115,1.0,1.0,1.2038683146437261,35,False
translated_rank_one_family,116,1.0,1.0,1.2137362975672366,35,False
translated_rank_one_family,117,1.0,1.0,1.27479939930388,35,False
translated_rank_one_family,118,1.0,1.0,1.0643155913531122,35,False
translated_rank_one_family,119,1.0,1.0,1.127653539358177,35,False
translated_rank_one_family,120,1.0,1.0,1.0612924149723335,35,False
translated_rank_one_family,121,1.0,1.0,1.2286373880109012,35,False
translated_rank_one_family,122,1.0,1.0,1.2264893201024563,35,False
translated_rank_one_family,123,1.0,1.0,1.186035871199012,35,False
translated_rank_one_family,124,1.0,1.0,1.1841839422943847,35,False
translated_rank_one_family,125,1.0,1.0,1.1836109852086971,35,False
translated_rank_one_family,126,1.0,1.0,1.1289943565035854,35,False
translated_rank_one_family,127,1.0,1.0,1.0952982487249185,35,False
translated_rank_one_family,128,1.0,1.0,1.1183449731712751,35,False
translated_rank_one_family,129,1.0,1.0,1.1140222933268933,35,False
translated_rank_one_family,130,1.0,1.0,1.3610185345725385,35,False
translated_rank_one_family,131,1.0,1.0,1.1588008965431253,35,False
translated_rank_one_family,132,1.0,1.0,1.1350885813934009,35,False
translated_rank_one_family,133,1.0,1.0,1.1104073944653037,35,False
translated_rank_one_family,134,1.0,1.0,1.1211186734637355,35,False
translated_rank_one_family,135,1.0,1.0,1.1732353244202522,35,False
translated_rank_one_family,136,1.0,1.0,1.183269059699767,35,False
translated_rank_one_family,137,1.0,1.0,1.0960510383911584,35,False
translated_rank_one_family,138,1.0,1.0,1.1528872307011768,35,False
translated_rank_one_family,139,1.0,1.0,1.1111147997202209,35,False
translated_rank_one_family,140,1.0,1.0,1.1390475542973386,35,False
translated_rank_one_family,141,1.0,1.0,1.2024736904104347,35,False
translated_rank_one_family,142,1.0,1.0,1.1302638468971986,35,False
translated_rank_one_family,143,1.0,1.0,1.1122816540506182,35,False
translated_rank_one_family,144,1.0,1.0,1.139825312555105,35,False
translated_rank_one_family,145,1.0,1.0,1.0512493827826357,35,False
translated_rank_one_family,146,1.0,1.0,1.1463657027844143,35,False
translated_rank_one_family,147,1.0,1.0,1.2493194105791776,35,False
translated_rank_one_family,148,1.0,1.0,1.0637931299317904,35,False
translated_rank_one_family,149,1.0,1.0,1.1543378703193197,35,False
translated_rank_one_family,150,1.0,1.0,1.1847609177333627,35,False
translated_rank_one_family,151,1.0,1.0,1.1285497815732597,35,False
translated_rank_one_family,152,1.0,1.0,1.0979223197623356,35,False
translated_rank_one_family,153,1.0,1.0,1.157726291395177,35,False
translated_rank_one_family,154,1.0,1.0,1.2666253694277685,35,False
translated_rank_one_family,155,1.0,1.0,1.1274807233717774,35,False
translated_rank_one_family,156,1.0,1.0,1.1749703949579653,35,False
translated_rank_one_family,157,1.0,1.0,1.1494157284500341,35,False
translated_rank_one_family,158,1.0,1.0,1.101961780282148,35,False
translated_rank_one_family,159,1.0,1.0,1.1539527518363724,35,False
dense_full_rank_family,0,1.0,1.0,1.1556971169965216,29,False
dense_full_rank_family,1,1.0,1.0,1.155386668843162,29,False
dense_full_rank_family,2,1.0,1.0,1.1941108703246008,29,False
dense_full_rank_family,3,1.0,1.0,1.1143245315599248,29,False
dense_full_rank_family,4,1.0,1.0,1.1924788375998567,29,False
dense_full_rank_family,5,1.0,1.0,1.172799875388912,29,False
