n,r,s,eta,exact_probability,proved_bound,ratio
8,2,4,0.2,0.03620240810553753,0.6703200460356393,0.0540076465259294
10,2,4,0.2,0.03748284524042072,0.6703200460356393,0.05591783426752517
100,2,4,0.2,0.000512974991004026,0.6703200460356393,0.0007652687608521144
3,2,4,0.4,0.00150022509822999,0.44932896411722156,0.0033388123580624755
4,2,4,0.4,0.003338616949228422,0.44932896411722156,0.007430228665066512
5,2,4,0.4,0.004024266989992557,0.44932896411722156,0.008956170893409623
8,2,4,0.4,0.0031489068770776127,0.44932896411722156,0.007008021134947627
50,2,4,0.4,2.611103491492491e-07,0.44932896411722156,5.811117688846123e-07
3,2,4,0.8,4.042683173959204e-06,0.20189651799465538,2.0023540842176496e-05
4,2,4,0.8,2.05018839396542e-06,0.20189651799465538,1.0154649591429271e-05
8,2,4,0.8,6.108309648691852e-09,0.20189651799465538,3.025465574821628e-08
25,2,4,0.8,6.2633111110331826e-21,0.20189651799465538,3.102238301702155e-20
3,2,8,0.03,0.0007072521685629873,0.8869204367171575,0.000797424593327454
4,2,8,0.03,0.006281332428057953,0.8869204367171575,0.007082182536358778
8,2,8,0.03,0.049607181904323026,0.8869204367171575,0.055931941412849594
67,2,8,0.03,0.16744269484564817,0.8869204367171575,0.18879111125843448
667,2,8,0.03,0.04341554325493722,0.8869204367171575,0.04895088832954991
3,2,8,0.05,0.0005918528977719686,0.8187307530779818,0.0007228907617637714
4,2,8,0.05,0.005202485198874933,0.8187307530779818,0.0063543297711933025
8,2,8,0.05,0.039669495581423436,0.8187307530779818,0.048452431317973256
40,2,8,0.05,0.10578869954387429,0.8187307530779818,0.12921060940506557
400,2,8,0.05,0.013110512386148195,0.8187307530779818,0.016013215989334476
3,2,8,0.1,0.0003703219512663576,0.6703200460356393,0.0005524554329778591
4,2,8,0.1,0.0031489068770776136,0.6703200460356393,0.0046976170497968275
8,2,8,0.1,0.0213798239751173,0.6703200460356393,0.03189494943730294
20,2,8,0.1,0.03730063187076666,0.6703200460356393,0.055646003862434804
200,2,8,0.1,0.0007093594556473326,0.6703200460356393,0.001058239955440058
3,2,8,0.2,0.00012924924084078897,0.44932896411722156,0.00028764947546775605
4,2,8,0.2,0.0009915903794470028,0.44932896411722156,0.002206824973758681
8,2,8,0.2,0.004633900986356273,0.44932896411722156,0.010312936303717503
10,2,8,0.2,0.0050435936243469525,0.44932896411722156,0.011224724037667807
100,2,8,0.2,1.5787724296095235e-06,0.44932896411722156,3.513622658871488e-06
3,2,8,0.4,8.453513110073409e-06,0.20189651799465538,4.1870524534242786e-05
4,2,8,0.4,4.318292309454507e-05,0.20189651799465538,0.0002138864182674424
5,2,8,0.4,6.473124613504987e-05,0.20189651799465538,0.000320615960978403
8,2,8,0.4,4.32276084275715e-05,0.20189651799465538,0.0002141077461708172
50,2,8,0.4,5.356605212527353e-13,0.20189651799465538,2.653143930233187e-12
3,2,8,0.8,6.866885201438501e-11,0.04076220397836621,1.6846206856437336e-09
4,2,8,0.8,1.9638239935243075e-11,0.04076220397836621,4.817757142294296e-10
8,2,8,0.8,2.305880419093646e-16,0.04076220397836621,5.656908101233803e-15
25,2,8,0.8,4.054079610335295e-40,0.04076220397836621,9.945683046203594e-39
3,2,16,0.03,2.2496911769445633e-06,0.7866278610665535,2.859917997176337e-06
4,2,16,0.03,0.0001641658686009791,0.7866278610665535,0.00020869572097077002
8,2,16,0.03,0.008790601193796047,0.7866278610665535,0.01117504429842755
67,2,16,0.03,0.08406667670322901,0.7866278610665535,0.1068696913293241
667,2,16,0.03,0.007628657032532488,0.7866278610665535,0.009697923770700332
3,2,16,0.05,1.5871503073971806e-06,0.6703200460356393,2.3677500274440482e-06
4,2,16,0.05,0.00011414306852373937,0.6703200460356393,0.00017028144868827427
8,2,16,0.05,0.005799851167640578,0.6703200460356393,0.008652361214529773
40,2,16,0.05,0.037091266809729025,0.6703200460356393,0.055333667893555684
400,2,16,0.05,0.0008174505193525283,0.6703200460356393,0.0012194928738697849
3,2,16,0.1,6.328835813563371e-07,0.44932896411722156,1.4085083132794206e-06
4,2,16,0.1,4.3227608427571506e-05,0.44932896411722156,9.620481179640632e-05
8,2,16,0.1,0.001817373052905108,0.44932896411722156,0.004044638111579625
20,2,16,0.1,0.00541370526791927,0.44932896411722156,0.012048422648549615
200,2,16,0.1,3.0787689059316306e-06,0.44932896411722156,6.85192620952082e-06
3,2,16,0.2,7.992629594209969e-08,0.20189651799465538,3.958775353630195e-07
