k,m,sparsity,repetition,master_seed,d_squared_over_log_k,sigma_min_estimate,smallest_Gram_eigenvalue_raw,eigenpair_residual,max_row_occupancy,method
10000,100,2,1,20260912,0.43429448190325176,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
10000,100,2,2,20260912,0.43429448190325176,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
10000,100,4,0,20260912,1.737177927613007,0.8660254037844386,0.7499999999999999,1.5700924586837752e-16,2,dense_Gram_eigh
10000,100,4,1,20260912,1.737177927613007,0.8660254037844386,0.7499999999999999,1.5700924586837752e-16,2,dense_Gram_eigh
10000,100,4,2,20260912,1.737177927613007,0.8660254037844386,0.7499999999999999,1.5700924586837752e-16,2,dense_Gram_eigh
10000,100,8,0,20260912,6.948711710452028,0.8561703097902124,0.7330275993662682,9.429206839732271e-16,3,dense_Gram_eigh
10000,100,8,1,20260912,6.948711710452028,0.8629832731651069,0.7447401297627615,2.758773269098712e-16,3,dense_Gram_eigh
10000,100,8,2,20260912,6.948711710452028,0.8730612068613584,0.7622358709262116,2.8412761808805373e-16,2,dense_Gram_eigh
10000,100,16,0,20260912,27.794846841808113,0.8950667031096547,0.8011444030155868,4.352706020522568e-16,3,dense_Gram_eigh
10000,100,16,1,20260912,27.794846841808113,0.8903869054554232,0.7927888414064846,2.725575974811767e-16,3,dense_Gram_eigh
10000,100,16,2,20260912,27.794846841808113,0.8792399467250774,0.7730628839171171,4.0554359323570723e-16,3,dense_Gram_eigh
50000,500,1,0,20260912,0.09242333564642943,1.1542389828544792e-08,1.3322676295409428e-16,1.3322676295409426e-16,2,dense_Gram_eigh
50000,500,1,1,20260912,0.09242333564642943,0.0,-1.1657341738180102e-16,1.16573417381801e-16,2,dense_Gram_eigh
50000,500,1,2,20260912,0.09242333564642943,0.0,-1.1657341738180102e-16,1.16573417381801e-16,2,dense_Gram_eigh
50000,500,2,0,20260912,0.36969334258571773,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
50000,500,2,1,20260912,0.36969334258571773,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
50000,500,2,2,20260912,0.36969334258571773,0.7071067811865475,0.4999999999999999,0.0,2,dense_Gram_eigh
50000,500,4,0,20260912,1.478773370342871,0.7716809592134084,0.595491502812526,2.884444029575346e-16,2,dense_Gram_eigh
50000,500,4,1,20260912,1.478773370342871,0.7529855895751131,0.5669872981077806,4.1017537053319837e-16,2,dense_Gram_eigh
50000,500,4,2,20260912,1.478773370342871,0.7716809592134084,0.5954915028125262,1.3447180846868238e-16,2,dense_Gram_eigh
50000,500,8,0,20260912,5.915093481371484,0.8649193555476284,0.748085491600925,3.1558271160600114e-16,3,dense_Gram_eigh
50000,500,8,1,20260912,5.915093481371484,0.8447477209020119,0.7135987119691434,3.66675320173369e-16,3,dense_Gram_eigh
50000,500,8,2,20260912,5.915093481371484,0.8453781695429279,0.7146642495397514,3.2251223900115885e-16,3,dense_Gram_eigh
50000,500,16,0,20260912,23.660373925485935,0.8854735461974913,0.7840634010155607,6.328148057247589e-16,4,dense_Gram_eigh
50000,500,16,1,20260912,23.660373925485935,0.8878877077407985,0.7883445815572095,7.739817461171993e-16,4,dense_Gram_eigh
50000,500,16,2,20260912,23.660373925485935,0.8814057949722702,0.7768761754106998,7.916567902616878e-16,3,dense_Gram_eigh
