b,t,m,case,seed,delta,raw_krylov_condition,f,descent_norm,deterministic_alpha,derivative_relative_error,finite_difference_relative_error,moment_relative_residual,translation_relative_residual,log10_interpolation_bound_margin
1,3,3,wide_bands,11,0.5034146962085905,1559.0059305845418,0.018442830099543037,0.5081053917907505,1.077818576039157e-11,0.0,2.230924369683862e-07,6.010693838348121e-17,4.536495512609868e-14,21.82625318444977
1,3,3,wide_bands,29,0.5034146962085905,46.748734132895706,0.2551507605415244,0.3411226342223025,2.3201467803849792e-10,5.551115123125783e-17,1.1758843886933157e-06,5.979772412450954e-17,2.7986396432940083e-15,22.967222486212066
1,4,4,geometric,11,0.486582880967408,306.27749918068326,0.24637030983909958,0.16150705914589727,2.857269600798099e-13,1.6653345369377348e-16,5.175324299111494e-07,1.4380425071583123e-16,1.1185738332701758e-14,26.85017870065203
1,4,4,geometric,29,0.486582880967408,5541.890098734105,0.006983185013071121,0.30870292372705743,9.702215823292078e-15,5.551115123125783e-16,1.1238989999773352e-07,8.445523562458876e-17,6.729413554190098e-15,25.302643879393035
1,4,4,repeated,11,0.486582880967408,306.27749918068326,0.24637030983909958,0.16150705914589727,2.857269600798099e-13,1.6653345369377348e-16,5.175324299111494e-07,1.4380425071583123e-16,1.1185738332701758e-14,26.85017870065203
1,4,4,repeated,29,0.486582880967408,5541.890098734105,0.006983185013071121,0.30870292372705743,9.702215823292078e-15,5.551115123125783e-16,1.1238989999773352e-07,8.445523562458876e-17,6.729413554190098e-15,25.302643879393035
1,4,4,wide_bands,11,0.5034146962085904,302.1286445060419,0.27074638085140795,0.18163373275811442,3.2736140648771657e-13,1.609823385706477e-15,6.48738106873159e-07,7.114931198916635e-17,1.879798350390784e-14,26.832076733648968
1,4,4,wide_bands,29,0.5034146962085904,5557.250636235983,0.007502545453366231,0.33174331026535975,1.1115965455528276e-14,2.7755575615628914e-16,1.08561527267792e-07,1.504845082480684e-16,7.417246720882903e-15,25.274722708889584
2,1,2,geometric,11,1.0,5.573564092301723,0.5744154236147323,1.0,0.0002477890106103784,4.440892098500626e-16,4.775069228912798e-13,0.0,3.235122792434315e-17,15.933690405420014
2,1,2,geometric,29,1.0,1.6905040379482104,0.7627643709615743,1.0000000000000004,0.0008169563047487293,2.220446049250312e-16,1.3454348746222416e-11,0.0,1.6700382519954806e-16,16.05685471157185
2,1,2,repeated,11,1.0,5.573564092301723,0.5744154236147323,1.0,0.0002477890106103784,4.440892098500626e-16,4.775069228912798e-13,0.0,3.235122792434315e-17,15.933690405420014
2,1,2,repeated,29,1.0,1.6905040379482104,0.7627643709615743,1.0000000000000004,0.0008169563047487293,2.220446049250312e-16,1.3454348746222416e-11,0.0,1.6700382519954806e-16,16.05685471157185
2,1,2,wide_bands,11,1.0,5.573564092301723,0.5744154236147323,1.0,0.0002477890106103784,4.440892098500626e-16,4.775069228912798e-13,0.0,3.235122792434315e-17,15.933690405420014
2,1,2,wide_bands,29,1.0,1.6905040379482104,0.7627643709615743,1.0000000000000004,0.0008169563047487293,2.220446049250312e-16,1.3454348746222416e-11,0.0,1.6700382519954806e-16,16.05685471157185
2,2,4,geometric,11,0.7364028618842733,43.19487979167994,0.12185782511711941,0.7877951265804214,3.922383023766649e-08,1.1102230246251565e-16,1.3431929446472424e-07,4.9415122468701654e-17,4.8292358842254e-16,20.47583121708804
2,2,4,geometric,29,0.7364028618842733,23.97663497589568,0.1306169368333088,0.7357122942518186,2.278552733881529e-09,3.3306690738754696e-16,3.142936380040595e-07,9.777576068969666e-17,3.7774212462529005e-16,20.50597728906668
2,2,4,repeated,11,0.8646647167633873,34.86747933955684,0.11940825569149711,0.8609969599066817,5.407724282698738e-08,4.440892098500626e-16,3.6623487054132653e-07,6.714055459726993e-17,5.496171221272585e-16,20.327547608596856
2,2,4,repeated,29,0.8646647167633873,15.526049912236713,0.1912000934474355,0.864060310233274,3.141402783399817e-09,0.0,5.8969645277962e-08,1.4400231476201854e-16,4.2265328655683226e-16,20.53200135455322
2,2,4,wide_bands,11,0.5034146962085905,61.09034351740667,0.07852435240954403,0.5279807448449855,1.8330353689479498e-08,2.220446049250313e-16,2.078641496372491e-06,1.1594978394168816e-17,4.037180504927982e-16,20.61536131356678
2,2,4,wide_bands,29,0.5034146962085905,28.918294989985217,0.10338147200749935,0.5050940044658357,1.0648291423633204e-09,2.220446049250313e-16,5.69791755444804e-07,4.248326717450284e-17,5.479416101688736e-16,20.734799661730143
2,3,6,geometric,11,0.5506710358827782,224.8175735852152,0.1536066804711994,0.4814069390048697,4.8605854787510114e-11,5.551115123125783e-16,1.6238660206335798e-05,1.7150523485568344e-16,4.370341035063371e-15,25.038176655194246
2,3,6,geometric,29,0.5506710358827782,223.3436016296809,0.20125955494917566,0.4095363762225123,1.727123421026333e-11,1.6653345369377348e-16,1.1662056194461368e-05,7.163315000939433e-17,3.326729791707864e-15,25.15552305927861
