case,n,b,k,m,q,seed,delta,basis_dimension,orthogonality_error,spectral_error,frobenius_error,right_energy_defect,spectral_ratio,frobenius_ratio,relative_right_energy_defect,all_criteria_at_epsilon_0_1
wide_unaligned,64,4,19,20,5,303,0.30232367392896886,20,2.8397029867517586e-15,0.7278685148758391,2.4127955481905055,0.16673204147605167,1.71149137830615,1.1789882091365465,0.9218550344066972,False
wide_unaligned,64,4,19,20,7,303,0.30232367392896886,28,3.3933438105797218e-15,0.5280452027306537,2.1194385974218415,0.05184994555669212,1.2416319614863394,1.0356422939453944,0.2866763515998526,False
wide_unaligned,64,4,19,20,10,303,0.30232367392896886,40,4.1257021996185774e-15,0.42541340026497654,2.0474473400151068,0.0015548372841036606,1.000306170536322,1.000464492118336,0.008596635447782669,True
wide_unaligned,64,4,19,20,16,303,0.30232367392896886,64,5.814750107848232e-15,0.42528319108227436,2.0464967584006293,1.2212453270876722e-15,1.0000000000000004,1.0,6.7522183681960654e-15,True
mixed_multiplicities_boundary,42,3,10,12,4,101,0.30000000000000004,12,2.5303279863729037e-15,0.6759534755095966,1.5963689297519763,0.16396107609803626,1.6898836887739914,1.2308198934078607,1.0247567256127266,False
mixed_multiplicities_boundary,42,3,10,12,6,101,0.30000000000000004,18,3.0495478214539693e-15,0.4184092537015175,1.3057083962271898,0.012189250265974005,1.0460231342537936,1.0067170809418022,0.07618281416233753,True
mixed_multiplicities_boundary,42,3,10,12,9,101,0.30000000000000004,27,3.650447709868513e-15,0.4000000275095499,1.296999077080922,2.254326478212665e-06,1.0000000687738746,1.0000020897743596,1.4089540488829155e-05,True
mixed_multiplicities_boundary,42,3,10,12,14,101,0.30000000000000004,42,4.249095374425648e-15,0.4000000000000002,1.2969963666511706,7.771561172376096e-16,1.0000000000000004,1.0,4.85722573273506e-15,True
mixed_multiplicities_boundary,42,3,10,12,4,202,0.30000000000000004,12,2.127965774700802e-15,0.8001934081798533,1.6708912022696232,0.16253896655276545,2.000483520449633,1.288277473424112,1.015868540954784,False
mixed_multiplicities_boundary,42,3,10,12,6,202,0.30000000000000004,18,2.4553143948728242e-15,0.445174051224975,1.323983165472061,0.04602005002849657,1.1129351280624373,1.020807150671185,0.2876253126781036,False
mixed_multiplicities_boundary,42,3,10,12,9,202,0.30000000000000004,27,2.7820807078642785e-15,0.4000000001940033,1.2969977023941157,1.1287117175351469e-06,1.000000000485008,1.000001029874084,7.054448234594668e-06,True
mixed_multiplicities_boundary,42,3,10,12,14,202,0.30000000000000004,42,4.108146944029208e-15,0.3999999999999997,1.2969963666511706,1.1102230246251565e-15,0.9999999999999992,1.0,6.938893903907228e-15,True
mixed_multiplicities_boundary,42,3,10,12,4,303,0.30000000000000004,12,2.175191269509618e-15,0.7775744103821167,1.6560245073136117,0.23446232406742146,1.9439360259552918,1.2768150704920227,1.465389525421384,False
mixed_multiplicities_boundary,42,3,10,12,6,303,0.30000000000000004,18,2.8455543436123083e-15,0.4034618690197004,1.3081790869803154,0.0038485200151098242,1.008654672549251,1.0086220136128974,0.0240532500944364,True
mixed_multiplicities_boundary,42,3,10,12,9,303,0.30000000000000004,27,3.1498383441432756e-15,0.40000000002519137,1.2969964091596906,2.597944270821273e-08,1.0000000000629783,1.0000000327745868,1.6237151692632956e-07,True
mixed_multiplicities_boundary,42,3,10,12,14,303,0.30000000000000004,42,4.07479134953289e-15,0.3999999999999998,1.2969963666511706,1.1102230246251565e-15,0.9999999999999994,1.0,6.938893903907228e-15,True
nonzero_width_clusters,45,3,14,15,5,101,0.29531191028128634,15,1.645660490633172e-15,0.6877355367641037,1.9808624908488066,0.18435122225282702,1.4438886066474408,1.2373893922572399,0.8125881199646079,False
nonzero_width_clusters,45,3,14,15,7,101,0.29531191028128634,21,2.0301649651422065e-15,0.588635793368127,1.6855641594245647,0.09052702850944139,1.2358304465523695,1.0529247842676943,0.39902739457612346,False
nonzero_width_clusters,45,3,14,15,10,101,0.29531191028128634,30,2.5132611344652236e-15,0.4768769690960162,1.6023449114313,0.0008279361130404672,1.0011947698530512,1.0009400477328705,0.003649398367555664,True
nonzero_width_clusters,45,3,14,15,15,101,0.29531191028128634,45,3.438745600742625e-15,0.47630789078733304,1.6008400453759564,1.6653345369377348e-15,1.0,1.0000000000000002,7.340504955407819e-15,True
nonzero_width_clusters,45,3,14,15,5,202,0.29531191028128634,15,1.871758475520269e-15,0.7729591012768855,2.0270245539732867,0.17724317338052828,1.6228139743794512,1.2662255419136779,0.7812570769740903,False
nonzero_width_clusters,45,3,14,15,7,202,0.29531191028128634,21,2.321862622531425e-15,0.5566078810119675,1.687474135857546,0.0818268857742798,1.1685884105171955,1.0541178931223225,0.36067867878137216,False
nonzero_width_clusters,45,3,14,15,10,202,0.29531191028128634,30,2.9017390834272806e-15,0.4810009095972586,1.6036353918054642,0.006595161174923869,1.0098529100623717,1.0017461747271894,0.029070323236833215,True
nonzero_width_clusters,45,3,14,15,15,202,0.29531191028128634,45,3.635159889484587e-15,0.47630789078733327,1.6008400453759564,7.771561172376096e-16,1.0000000000000004,1.0000000000000002,3.4255689791903155e-15,True
nonzero_width_clusters,45,3,14,15,5,303,0.29531191028128634,15,3.006744617701726e-15,0.7009934424479362,1.9883381019954347,0.18172564343104208,1.4717233453537788,1.2420591974437238,0.8010150252352054,False
nonzero_width_clusters,45,3,14,15,7,303,0.29531191028128634,21,3.2918248041144096e-15,0.6465920376066515,1.715319298035201,0.09648459748486132,1.3575085572020236,1.0715119870907275,0.42528732230612104,False
nonzero_width_clusters,45,3,14,15,10,303,0.29531191028128634,30,3.7222757465447255e-15,0.4763513065886065,1.6011341383361857,0.00041451601914535563,1.0000911507075847,1.000183711646319,0.0018271145077117744,True
nonzero_width_clusters,45,3,14,15,15,303,0.29531191028128634,45,4.477435190075779e-15,0.4763078907873332,1.6008400453759564,1.9984014443252818e-15,1.0000000000000004,1.0000000000000002,8.808605946489382e-15,True
scalar_block,20,1,5,5,5,101,0.18126924692201807,5,4.696208212547425e-16,0.8079435888842175,1.7250337297242135,0.37391701010577205,1.3320737805192089,1.2422140277450542,1.0164118139222573,False
scalar_block,20,1,5,5,8,101,0.18126924692201807,8,8.774494957425619e-16,0.6807282107685608,1.454176396183292,0.1463469048662862,1.1223310806597662,1.0471669550736433,0.39781213214925043,False
scalar_block,20,1,5,5,12,101,0.18126924692201807,12,1.3451527984606027e-15,0.607686016582099,1.3898268414996082,0.0017764132796663779,1.0019048614459374,1.00082819767439,0.004828791937950451,True
scalar_block,20,1,5,5,20,101,0.18126924692201807,20,1.5022725245760403e-15,0.6065306597126335,1.3886767426508655,1.2212453270876722e-15,1.0000000000000002,1.0000000000000002,3.3196889807129424e-15,True
scalar_block,20,1,5,5,5,202,0.18126924692201807,5,7.189623617971338e-16,0.8383714944279229,1.73202922497983,0.35613624515578735,1.3822409156119704,1.2472515537874813,0.9680786836626124,False
scalar_block,20,1,5,5,8,202,0.18126924692201807,8,8.300561263289048e-16,0.7229738001203636,1.4604598497734276,0.08926500025346956,1.1919822824173463,1.0516917327970328,0.24264742810639836,False
scalar_block,20,1,5,5,12,202,0.18126924692201807,12,9.98469246931478e-16,0.6065331382250442,1.388744779366977,7.189049925576674e-05,1.0000040863761313,1.0000489939191908,0.00019541863776579923,True
scalar_block,20,1,5,5,20,202,0.18126924692201807,20,1.2894892308190937e-15,0.6065306597126332,1.3886767426508655,4.996003610813204e-16,0.9999999999999997,1.0000000000000002,1.3580545830189309e-15,True
scalar_block,20,1,5,5,5,303,0.18126924692201807,5,5.779846983691505e-16,0.8630313147259134,1.7626775384620872,0.3879820286689978,1.4228980858689102,1.2693217106072407,1.054644498299613,False
scalar_block,20,1,5,5,8,303,0.18126924692201807,8,7.807446147858787e-16,0.7276098274342663,1.4753624340395557,0.10728511993152867,1.1996257992613244,1.0624232326547176,0.29163119197392373,False
scalar_block,20,1,5,5,12,303,0.18126924692201807,12,1.2775048337826301e-15,0.6065569464542928,1.3890848235901965,0.0004210059571080338,1.0000433395101112,1.0002938631625329,0.0011444128428797764,True
scalar_block,20,1,5,5,20,303,0.18126924692201807,20,1.6624170533408634e-15,0.6065306597126334,1.3886767426508655,6.106226635438361e-16,1.0,1.0000000000000002,1.6598444903564712e-15,True
