family,trial,n,k,epsilon,steps,queries,query_bound,residual_ratio,meets_target,orthogonality_error
large_dynamic_range,0,96,4,0.1,4,40,40,1.0000000000143143,True,1.1648142751891904e-15
large_dynamic_range,0,96,4,0.1,8,72,72,1.0000000000000575,True,1.2112220029975364e-15
large_dynamic_range,1,96,4,0.1,2,24,24,1.0000548794884134,True,1.6957826192698722e-15
large_dynamic_range,1,96,4,0.1,4,40,40,1.000000001106329,True,1.2159622169195681e-15
large_dynamic_range,1,96,4,0.1,8,72,72,1.0000000000000966,True,1.8510622487229515e-15
large_dynamic_range,2,96,4,0.1,2,24,24,1.000010949752251,True,9.353025902620702e-16
large_dynamic_range,2,96,4,0.1,4,40,40,1.0000000004181762,True,1.0637913356514248e-15
large_dynamic_range,2,96,4,0.1,8,72,72,1.0000000000000129,True,1.0439642801575818e-15
large_dynamic_range,3,96,4,0.1,2,24,24,1.0000120669306143,True,1.230867949430334e-15
large_dynamic_range,3,96,4,0.1,4,40,40,1.0000000002454421,True,1.3147419749101635e-15
large_dynamic_range,3,96,4,0.1,8,72,72,0.9999999999999774,True,2.1358786186357264e-15
large_dynamic_range,4,96,4,0.1,2,24,24,1.0000027695714577,True,2.140751389775121e-15
large_dynamic_range,4,96,4,0.1,4,40,40,1.0000000001320344,True,1.8001811779919713e-15
large_dynamic_range,4,96,4,0.1,8,72,72,1.000000000000034,True,2.3622866846135502e-15
large_dynamic_range,5,96,4,0.1,2,24,24,1.000056497630152,True,1.3582748158557417e-15
large_dynamic_range,5,96,4,0.1,4,40,40,1.0000000060889918,True,1.5277593561347355e-15
large_dynamic_range,5,96,4,0.1,8,72,72,1.0000000000000966,True,1.1314325953754761e-15
large_dynamic_range,6,96,4,0.1,2,24,24,1.0000107510239973,True,6.571374009029865e-16
large_dynamic_range,6,96,4,0.1,4,40,40,1.0000000006283039,True,4.932908923421299e-16
large_dynamic_range,6,96,4,0.1,8,72,72,1.0000000000000377,True,1.1496118918538358e-15
large_dynamic_range,7,96,4,0.1,2,24,24,1.0000126657621469,True,1.7116180058281627e-15
large_dynamic_range,7,96,4,0.1,4,40,40,1.0000000001013931,True,1.4098955090684311e-15
large_dynamic_range,7,96,4,0.1,8,72,72,0.999999999999989,True,1.9405309466975496e-15
large_dynamic_range,8,96,4,0.1,2,24,24,1.000003500825726,True,1.3490515383858368e-15
large_dynamic_range,8,96,4,0.1,4,40,40,1.0000000001059801,True,1.353418059680515e-15
large_dynamic_range,8,96,4,0.1,8,72,72,1.0000000000000346,True,1.033885971165786e-15
large_dynamic_range,9,96,4,0.1,2,24,24,1.0000453349704697,True,2.2198828715354274e-15
large_dynamic_range,9,96,4,0.1,4,40,40,1.0000000000017717,True,2.403483246679902e-15
large_dynamic_range,9,96,4,0.1,8,72,72,1.0000000000000393,True,3.6759309383011995e-15
large_dynamic_range,10,96,4,0.1,2,24,24,1.0000810114960166,True,8.432762586907929e-16
large_dynamic_range,10,96,4,0.1,4,40,40,1.0000000002033465,True,6.741177322215291e-16
large_dynamic_range,10,96,4,0.1,8,72,72,0.9999999999999726,True,4.0097943990822433e-16
large_dynamic_range,11,96,4,0.1,2,24,24,1.000000057170143,True,1.1851228716357572e-15
large_dynamic_range,11,96,4,0.1,4,40,40,1.0000000000217169,True,5.763619124746637e-16
large_dynamic_range,11,96,4,0.1,8,72,72,0.9999999999999378,True,1.6758216843886284e-15
large_dynamic_range,12,96,4,0.1,2,24,24,1.0000278022068936,True,2.3027832336849603e-15
large_dynamic_range,12,96,4,0.1,4,40,40,1.000000000342388,True,1.894334569194876e-15
large_dynamic_range,12,96,4,0.1,8,72,72,0.9999999999999812,True,1.4899209581816689e-15
large_dynamic_range,13,96,4,0.1,2,24,24,1.0002628651323577,True,2.4114076408698543e-15
large_dynamic_range,13,96,4,0.1,4,40,40,1.0000000031329939,True,1.1317275732172026e-15
large_dynamic_range,13,96,4,0.1,8,72,72,0.999999999999968,True,1.3897865035340074e-15
large_dynamic_range,14,96,4,0.1,2,24,24,1.000087021357533,True,9.15300632017265e-16
large_dynamic_range,14,96,4,0.1,4,40,40,1.0000000008172265,True,1.0420884106863234e-15
large_dynamic_range,14,96,4,0.1,8,72,72,1.000000000000012,True,1.0087190944959373e-15
large_dynamic_range,15,96,4,0.1,2,24,24,1.000005736315623,True,3.861848364271355e-15
large_dynamic_range,15,96,4,0.1,4,40,40,1.0000000001076748,True,3.637001637488383e-15
large_dynamic_range,15,96,4,0.1,8,72,72,1.0000000000000009,True,3.878458259018097e-15
large_dynamic_range,16,96,4,0.1,2,24,24,1.0008490313184923,True,1.0298311072466078e-15
large_dynamic_range,16,96,4,0.1,4,40,40,1.0000000214167872,True,1.0427331904489888e-15
large_dynamic_range,16,96,4,0.1,8,72,72,1.0000000000000115,True,1.832717454139007e-15
large_dynamic_range,17,96,4,0.1,2,24,24,1.001783861193268,True,1.028414397477943e-15
large_dynamic_range,17,96,4,0.1,4,40,40,1.0000000111171479,True,1.4372326139313566e-15
large_dynamic_range,17,96,4,0.1,8,72,72,0.9999999999999952,True,1.6315991689906561e-15
large_dynamic_range,18,96,4,0.1,2,24,24,1.0000053616795797,True,7.771860696575561e-16
large_dynamic_range,18,96,4,0.1,4,40,40,1.0000000003454894,True,7.146387733694936e-16
large_dynamic_range,18,96,4,0.1,8,72,72,0.9999999999999879,True,1.350176319300499e-15
large_dynamic_range,19,96,4,0.1,2,24,24,1.0000243178525017,True,9.85718926214553e-16
large_dynamic_range,19,96,4,0.1,4,40,40,1.0000000003528562,True,6.473343125068875e-16
large_dynamic_range,19,96,4,0.1,8,72,72,0.9999999999999823,True,7.918637347694271e-16
large_dynamic_range,20,96,4,0.1,2,24,24,1.0000176240882364,True,1.0785631654303981e-15
large_dynamic_range,20,96,4,0.1,4,40,40,1.0000000000678009,True,1.38732121129744e-15
large_dynamic_range,20,96,4,0.1,8,72,72,0.9999999999999409,True,1.0001499949916206e-15
large_dynamic_range,21,96,4,0.1,2,24,24,1.0003024888849703,True,1.276916286321776e-15
large_dynamic_range,21,96,4,0.1,4,40,40,1.0000000058894511,True,1.3192751955469799e-15
large_dynamic_range,21,96,4,0.1,8,72,72,1.0000000000000313,True,1.5937352066072205e-15
large_dynamic_range,22,96,4,0.1,2,24,24,1.0000005069346287,True,7.130207125235711e-16
large_dynamic_range,22,96,4,0.1,4,40,40,1.0000000001168206,True,8.006662111864984e-16
large_dynamic_range,22,96,4,0.1,8,72,72,1.00000000000009,True,9.00220507675236e-16
large_dynamic_range,23,96,4,0.1,2,24,24,1.0016565213251702,True,1.2931851780080163e-15
large_dynamic_range,23,96,4,0.1,4,40,40,1.000000006191189,True,1.219344430365959e-15
large_dynamic_range,23,96,4,0.1,8,72,72,1.0000000000000224,True,1.9637326337004775e-15
large_dynamic_range,24,96,4,0.1,2,24,24,1.0000035948133714,True,2.3082300138335418e-15
