case,n,b,k,m,q,seed,delta,basis_dimension,orthogonality_error,spectral_error,frobenius_error,right_energy_defect,spectral_ratio,frobenius_ratio,relative_right_energy_defect,all_criteria_at_epsilon_0_1
full_starting_block,32,6,6,6,4,202,1.0,24,4.602992205309762e-15,0.6985236185478848,2.0315324069806415,0.003870152971820806,1.0012144492298103,1.001540660848881,0.007950970795580803,True
full_starting_block,32,6,6,6,8,202,1.0,32,5.052974843543225e-15,0.6976763260710307,2.0284073192383074,4.440892098500626e-16,0.9999999999999996,1.0,9.123516212045713e-16,True
full_starting_block,32,6,6,6,1,303,1.0,6,1.3785219255165217e-15,0.9690422259597444,2.632187404061061,0.3935099195334937,1.3889567264191296,1.297662150543551,0.8084398474074133,False
full_starting_block,32,6,6,6,2,303,1.0,12,2.8866443096543775e-15,0.8375533051296465,2.1903338929787535,0.10852238645994483,1.2004897885045545,1.0798294170035097,0.22295199484164122,False
full_starting_block,32,6,6,6,4,303,1.0,24,4.356112567348746e-15,0.6976934689787996,2.029482679197108,0.0010098446034000341,1.0000245714339557,1.0005301499105241,0.0020746582908145353,True
full_starting_block,32,6,6,6,8,303,1.0,32,5.337905463320384e-15,0.697676326071031,2.0284073192383074,7.771561172376096e-16,1.0,1.0,1.5966153371079998e-15,True
zero_optimal_error,40,3,12,12,4,101,0.21337213893344653,12,2.0397772703873515e-15,0.8172287549123819,1.3131918367393942,0.14578146268734532,,,,False
zero_optimal_error,40,3,12,12,5,101,0.21337213893344653,15,2.6930208030896633e-15,6.276406236550457e-14,6.438143245523696e-14,1.3322676295501878e-15,,,,True
zero_optimal_error,40,3,12,12,6,101,0.21337213893344653,15,2.6930208030896633e-15,6.276406236550457e-14,6.438143245523696e-14,1.3322676295501878e-15,,,,True
zero_optimal_error,40,3,12,12,4,202,0.21337213893344653,12,2.1432719181003534e-15,0.8629783302256352,1.3609848052518758,0.2483107301838462,,,,False
zero_optimal_error,40,3,12,12,5,202,0.21337213893344653,15,2.8741931230318253e-15,1.259843161006978e-13,1.3152769014490529e-13,2.220446049250313e-15,,,,True
zero_optimal_error,40,3,12,12,6,202,0.21337213893344653,15,2.8741931230318253e-15,1.259843161006978e-13,1.3152769014490529e-13,2.220446049250313e-15,,,,True
zero_optimal_error,40,3,12,12,4,303,0.21337213893344653,12,2.3252607113365806e-15,0.8361890583933258,1.3514702021915923,0.16032091110948543,,,,False
zero_optimal_error,40,3,12,12,5,303,0.21337213893344653,15,2.4293310958905796e-13,1.386828369670768e-11,1.3869204956489138e-11,1.3322676295501878e-15,,,,True
zero_optimal_error,40,3,12,12,6,303,0.21337213893344653,16,2.4296161279360684e-13,1.5872811562222848e-13,2.045837109951772e-13,1.887379141862766e-15,,,,True
